Cowid,Time,Status,Herd,Timeassess,LogSCC
1,331,0,1,13,4.09
2,312,0,1,6,4.83
3,96,1,1,11,3.93
4,314,0,1,13,3.76
5,181,1,1,7,6.29
6,331,0,1,11,3.33
7,140,1,1,6,4.19
8,322,0,2,10,4.56
9,338,0,2,6,6.19
10,322,0,3,12,4.72
11,330,0,3,10,4.72
12,311,0,4,6,4.41
13,333,0,4,5,8.37
14,329,1,4,12,4.23
15,312,0,5,7,6.95
16,321,1,5,5,5.85
17,310,0,5,8,8.12
18,333,0,5,13,4.09
19,325,0,6,14,4.84
20,331,0,7,7,4.98
21,330,0,7,6,5
22,333,0,7,7,4.55
23,330,0,7,7,4.98
24,321,0,7,7,4.17
25,318,0,7,13,4.67
26,314,0,7,10,4.7
27,326,0,7,13,4.54
28,327,0,8,9,4.34
29,323,0,8,10,3.22
30,326,0,8,7,6.63
31,333,0,8,7,3.14
32,333,0,8,13,4.14
33,332,0,9,8,6.03
34,325,0,9,6,3.47
35,322,0,10,10,4.83
36,325,0,10,14,6.6
37,324,0,10,11,4.01
38,317,0,11,12,5.55
39,324,0,11,13,3.87
40,104,1,11,13,3.37
41,312,0,11,12,3.78
42,302,1,11,8,5.47
43,319,0,11,12,5.8
44,330,0,11,14,4.39
45,317,0,11,8,4.26
46,321,0,12,10,4.06
47,320,0,12,7,4.48
48,321,0,12,8,2.94
49,265,1,13,14,5.48
50,108,1,13,9,7.17
51,216,1,13,13,3.85
52,320,0,13,9,3.09
53,329,0,13,13,3.93
54,311,0,13,8,4.17
55,243,1,13,6,5.42
56,311,0,14,12,7.72
57,318,0,14,14,3.91
58,333,0,14,6,4.92
59,334,0,15,7,4.95
60,325,0,15,9,3.69
61,317,0,15,11,3.26
62,313,0,15,12,4.26
63,328,0,15,11,6.57
64,325,0,15,14,3.37
65,311,0,15,11,3.83
66,51,1,16,11,2.94
67,336,0,16,11,3.85
68,321,0,16,8,4.53
69,334,0,16,14,5.18
70,323,0,16,10,4.39
71,315,0,16,11,3.26
72,336,0,16,5,4.19
73,310,0,17,12,5.61
74,323,0,17,13,5.78
75,332,0,17,10,6.94
76,163,1,17,12,5.35
77,311,0,17,9,3.87
78,327,0,17,8,5.6
79,317,0,17,9,3.4
80,336,0,18,13,5.65
81,325,0,18,12,4.41
82,332,0,18,12,4.73
83,149,1,18,5,7.62
84,331,0,18,6,7.04
85,314,0,18,12,3.14
86,336,0,18,11,3.81
87,323,0,18,6,4.48
88,313,0,19,8,4.69
89,312,0,19,9,6.18
90,319,0,19,9,5.23
91,327,0,19,13,4.68
92,336,0,20,6,5.48
93,333,0,20,7,3.91
94,188,1,20,13,6.21
95,338,0,20,6,6.93
96,327,0,21,8,5.07
97,309,1,21,14,3.22
98,169,1,21,9,4.78
99,302,1,22,11,7.21
100,315,0,23,8,5.32
101,332,0,23,14,4.37
102,311,1,23,8,4.43
103,330,0,24,7,4.87
104,333,0,24,10,4.17
105,332,0,24,7,7.01
106,326,0,24,11,6.05
107,304,1,24,13,3.04
108,57,1,24,14,3.18
109,331,0,25,5,4.77
110,336,0,25,13,3.43
111,339,0,25,9,4.55
112,319,0,25,5,5.75
113,323,0,25,5,4.55
114,338,0,25,6,6.12
115,324,0,26,13,5.4
116,312,0,26,13,3.22
117,336,0,26,5,5
118,318,0,26,6,4.62
119,333,0,27,9,3.22
120,315,0,27,6,5.08
121,145,1,27,7,2.64
122,277,1,27,6,6.14
123,339,0,28,8,5.42
124,329,0,28,7,4.82
125,339,0,28,8,3.33
126,316,0,28,13,2.64
127,313,0,29,8,5.45
128,157,1,29,7,2.83
129,331,0,30,11,4.62
130,322,0,30,11,3.76
131,329,0,31,14,3.14
132,315,0,31,8,3.74
133,323,0,31,8,3.89
134,327,0,31,13,3.37
135,323,0,31,12,8.05
136,338,0,31,14,4.17
137,320,0,31,5,3.81
138,330,0,32,11,4.88
139,324,0,32,13,4.04
140,33,1,32,10,3.76
141,325,0,33,14,4.62
142,334,0,33,8,8.49
143,337,0,33,13,4.44
144,314,0,33,10,7.32
145,322,0,33,14,3.22
146,315,0,33,11,3.99
147,322,0,33,9,5.91
148,330,0,34,14,3.58
