Cowid,Time,Status,Drug,Heifer
1,6.5,0,0,0
1,6.5,0,1,0
2,2.93,1,0,0
2,1.59,1,1,0
3,6.5,0,0,1
3,2.51,1,1,1
4,6.5,0,0,0
4,0.16,1,1,0
5,3.14,1,0,1
5,5.59,1,1,1
6,1.76,1,0,0
6,1.27,1,1,0
7,2.81,1,0,0
7,0.58,1,1,0
8,0.38,1,0,0
8,0.15,1,1,0
9,6.5,0,0,0
9,0.32,1,1,0
10,4.66,1,0,0
10,6.42,1,1,0
11,6.5,0,0,0
11,4.63,1,1,0
12,2.77,1,0,0
12,5.34,1,1,0
13,6.5,0,0,0
13,1.78,1,1,0
14,4.22,1,0,0
14,1.25,1,1,0
15,1.37,1,0,1
15,0.11,1,1,1
16,4.18,1,0,0
16,4.07,1,1,0
17,6.5,0,0,0
17,5.89,1,1,0
18,2.02,1,0,0
18,0.49,1,1,0
19,1.13,1,0,1
19,0.68,1,1,1
20,4.64,1,0,0
20,0.42,1,1,0
21,2.31,1,0,0
21,2.63,1,1,0
22,0.43,1,0,0
22,6.5,0,1,0
23,0.41,1,0,1
23,0.36,1,1,1
24,6.5,0,0,0
24,0.42,1,1,0
25,1.07,1,0,1
25,0.73,1,1,1
26,3.12,1,0,0
26,1.46,1,1,0
27,6.48,1,0,0
27,2.59,1,1,0
28,6.5,0,0,1
28,0.5,1,1,1
29,1.32,1,0,0
29,0.11,1,1,0
30,4.56,1,0,0
30,0.44,1,1,0
31,0.75,1,0,0
31,1.35,1,1,0
32,5.65,1,0,0
32,3.28,1,1,0
33,1.15,1,0,0
33,3.56,1,1,0
34,6.5,0,0,0
34,4.97,1,1,0
35,2.69,1,0,0
35,1.61,1,1,0
36,0.85,1,0,1
36,4.47,1,1,1
37,0.64,1,0,0
37,3.63,1,1,0
38,3.03,1,0,1
38,1.32,1,1,1
39,0.58,1,0,0
39,2.07,1,1,0
40,1.18,1,0,1
40,0.08,1,1,1
41,2.18,1,0,0
41,6.5,0,1,0
42,3.49,1,0,0
42,1.64,1,1,0
43,4.31,1,0,0
43,1.98,1,1,0
44,4.73,1,0,0
44,6.5,0,1,0
45,6.5,0,0,0
45,0.11,1,1,0
46,0.77,1,0,1
46,0.53,1,1,1
47,0.61,1,0,0
47,1.26,1,1,0
48,0.89,1,0,0
48,3.48,1,1,0
49,0.03,1,0,1
49,2.48,1,1,1
50,3.62,1,0,1
50,1.3,1,1,1
51,2,1,0,0
51,1.56,1,1,0
52,4.11,1,0,0
52,0.6,1,1,0
53,1.01,1,0,0
53,5.8,1,1,0
54,0.12,1,0,0
54,0.83,1,1,0
55,2.95,1,0,1
55,2.83,1,1,1
56,1.3,1,0,0
56,1.77,1,1,0
57,0.54,1,0,0
57,0.69,1,1,0
58,1.53,1,0,0
58,0.81,1,1,0
59,5.32,1,0,0
59,1.73,1,1,0
60,6.5,0,0,0
60,6.5,0,1,0
61,2.37,1,0,0
61,0.89,1,1,0
62,6.5,0,0,1
62,6.5,0,1,1
63,1.25,1,0,1
63,0.55,1,1,1
64,0.77,1,0,1
64,6.5,0,1,1
65,6.5,0,0,0
65,0.26,1,1,0
66,2.59,1,0,0
66,6.5,0,1,0
67,6.5,0,0,1
67,6.5,0,1,1
68,1.8,1,0,0
68,1.67,1,1,0
69,3.84,1,0,0
69,6.26,1,1,0
70,0.46,1,0,1
70,1.82,1,1,1
71,0.31,1,0,1
71,2.64,1,1,1
72,0.52,1,0,1
72,1.39,1,1,1
73,6.5,0,0,0
73,1.92,1,1,0
74,1.14,1,0,0
74,0.7,1,1,0
75,6.5,0,0,0
75,1.27,1,1,0
76,3.65,1,0,1
76,1.32,1,1,1
77,6.5,0,0,1
77,3.26,1,1,1
78,0.47,1,0,1
78,0.39,1,1,1
79,2.23,1,0,0
79,5.69,1,1,0
80,2.94,1,0,0
80,1.15,1,1,0
81,6.5,0,0,0
81,6.5,0,1,0
82,5.86,1,0,1
82,6.5,0,1,1
83,0.53,1,0,0
83,0.54,1,1,0
84,1.79,1,0,0
84,0.76,1,1,0
85,2.28,1,0,1
85,0.64,1,1,1
86,4.22,1,0,1
86,6.5,0,1,1
87,0.18,1,0,1
87,0.77,1,1,1
88,1.12,1,0,0
88,0.59,1,1,0
89,4.55,1,0,0
89,0.18,1,1,0
90,6.5,0,0,0
90,4.79,1,1,0
91,3.5,1,0,1
91,0.38,1,1,1
92,1.5,1,0,0
92,0.25,1,1,0
93,5.98,1,0,1
93,0.56,1,1,1
94,6.5,0,0,0
94,2.4,1,1,0
95,3.05,1,0,0
95,6.5,0,1,0
96,1.42,1,0,0
96,6.5,0,1,0
97,1.46,1,0,0
97,2.15,1,1,0
98,6.5,0,0,0
98,3.01,1,1,0
99,6.18,1,0,0
99,0.1,1,1,0
100,6.5,0,0,0
100,6.5,0,1,0
